Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Salix vestita	Salix.vestita	1	160	NA	0	NA	0	NA	0	160	1	2	1	1	NA	SHRUB	NA	1.5	NA	1
Salix viminalis	Salix.viminalis	NA	0	1	75187	NA	0	NA	0	75187	1	2	1	1	1	"SHRUB, TREE"	NA	NA	1	NA
Sambucus racemosa	Sambucus.racemosa	1	13931	1	59243	NA	0	NA	0	73174	1	4	1	1	NA	SHRUB	NA	NA	1	NA
Shepherdia canadensis	Shepherdia.canadensis	1	814	1	82707	NA	0	NA	0	83521	1	3	1	1	NA	SHRUB	NA	1.9144	1	NA
Sibbaldia procumbens	Sibbaldia.procumbens	1	5517	1	20473	1	272	NA	0	26262	1	3	1	1	NA	"SUBSHRUB, HERB"	herbaceous	0.03825	1	NA
Sibbaldia tridentata	Sibbaldia.tridentata	1	3	NA	0	NA	0	NA	0	3	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	NA	NA	1
Sorbus aucuparia	Sorbus.aucuparia	1	98420	1	98038	NA	0	NA	0	196458	1	4	1	1	1	"SHRUB, TREE"	NA	15	1	NA
Sorbus groenlandica	Sorbus.groenlandica	1	2	NA	0	1	54	NA	0	56	1	4	1	1	1	"SHRUB, TREE"	NA	3	NA	1
Sorbus sambucifolia	Sorbus.sambucifolia	1	48	1	9409	NA	0	NA	0	9457	1	4	1	1	NA	SHRUB	NA	2	1	NA
Sorbus scopulina	Sorbus.scopulina	1	551	1	31663	NA	0	NA	0	32214	1	4	1	1	1	"SHRUB, TREE"	NA	4	1	NA
Spiraea betulifolia	Spiraea.betulifolia	1	317	1	34226	NA	0	NA	0	34543	1	3	1	1	NA	SHRUB	NA	0.9144	1	NA
Spiraea dahurica	Spiraea.dahurica	1	1	NA	0	NA	0	NA	0	1	1	4	1	1	NA	SHRUB	NA	1.5	NA	1
Spiraea media	Spiraea.media	1	65	1	23905	NA	0	NA	0	23970	1	4	1	1	NA	SHRUB	NA	2	1	NA
Spiraea salicifolia	Spiraea.salicifolia	1	763	NA	0	NA	0	NA	0	763	1	4	1	1	NA	SHRUB	NA	2	NA	1
Spiraea stevenii	Spiraea.stevenii	1	328	1	34226	NA	0	NA	0	34554	1	3	1	1	NA	SHRUB	NA	0.8	1	NA
Swida alba	Swida.alba	1	1603	1	30066	NA	0	NA	0	31669	1	4	1	1	NA	SHRUB	NA	3	1	NA
Swida sericea	Swida.sericea	1	4557	1	106008	NA	0	NA	0	110565	1	3	1	1	1	"SHRUB, TREE"	shrub	2.7432	1	NA
Therorhodion glandulosum	Therorhodion.glandulosum	1	47	1	11513	NA	0	NA	0	11560	1	3	1	1	NA	SHRUB	NA	0.1	1	NA
Thymus praecox	Thymus.praecox	1	14165	1	435	1	167	NA	0	14767	1	3	1	1	NA	"SUBSHRUB, HERB"	herbaceous	0.12	1	NA
Thymus serpyllum	Thymus.serpyllum	1	12817	1	20621	NA	0	NA	0	33438	1	3	1	1	NA	"SUBSHRUB, HERB"	NA	0.095	1	NA
Vaccinium caespitosum	Vaccinium.caespitosum	1	312	1	44101	NA	0	NA	0	44413	1	2	1	1	NA	"SHRUB, SUBSHRUB"	tree	0.2524	1	NA
Vaccinium myrtilloides	Vaccinium.myrtilloides	1	264	NA	0	NA	0	NA	0	264	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	1.15	NA	1
Vaccinium myrtillus	Vaccinium.myrtillus	1	67230	1	83971	1	1	NA	0	151202	1	1	1	1	NA	SHRUB	shrub	0.270682143	1	NA
Vaccinium ovalifolium	Vaccinium.ovalifolium	1	435	1	14677	NA	0	NA	0	15112	1	2	1	1	NA	SHRUB	NA	1	1	NA
Vaccinium uliginosum	Vaccinium.uliginosum	1	45358	1	210036	1	481	NA	0	255875	1	1	1	1	NA	SHRUB	tree	0.3225	1	NA
Vaccinium vitis-idaea	Vaccinium.vitis-idaea	1	49166	1	217933	1	170	NA	0	267269	1	2	1	1	NA	DWARF-SHRUB	tree	0.1575	1	NA
Veronica fruticans	Veronica.fruticans	1	3342	1	5949	1	165	NA	0	9456	1	3	1	1	NA	SHRUB	"NA,shrub"	0.125	1	NA
Viburnum edule	Viburnum.edule	1	679	1	76939	NA	0	NA	0	77618	1	3	1	1	NA	SHRUB	NA	1.5548	1	NA
