Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Cotoneaster niger	Cotoneaster.niger	1	652	1	43766	NA	0	NA	0	44418	1	4	1	1	NA	SHRUB	NA	2.5	1	NA
Dasiphora fruticosa	Dasiphora.fruticosa	1	2730	1	42024	NA	0	NA	0	44754	1	3	1	1	NA	SHRUB	woody	0.75	1	NA
Diapensia lapponica	Diapensia.lapponica	1	3425	1	6376	1	269	NA	0	10070	1	3	1	1	NA	"PINCUSHIAN, SHRUB"	shrub	0.038	1	NA
Diapensia obovata	Diapensia.obovata	1	102	1	3585	NA	0	NA	0	3687	1	4	1	1	NA	"PINCUSHIAN, SHRUB"	NA	0.05	1	NA
Dryas ajanensis	Dryas.ajanensis	1	21	NA	0	NA	0	NA	0	21	1	4	1	1	NA	DWARF-SHRUB	NA	NA	NA	1
Dryas crenulata	Dryas.crenulata	1	3	NA	0	NA	0	NA	0	3	1	4	1	1	NA	DWARF-SHRUB	NA	NA	NA	1
Dryas drummondii	Dryas.drummondii	1	194	1	21852	NA	0	NA	0	22046	1	4	1	1	NA	DWARF-SHRUB	NA	NA	1	NA
Dryas grandis	Dryas.grandis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1	NA	DWARF-SHRUB	NA	NA	NA	NA
Dryas incisa	Dryas.incisa	1	36	NA	0	NA	0	NA	0	36	1	4	1	1	NA	DWARF-SHRUB	NA	NA	NA	1
Dryas integrifolia	Dryas.integrifolia	1	507	1	79340	1	414	NA	0	80261	1	3	1	1	NA	DWARF-SHRUB	shrub	0.05	1	NA
Dryas octopetala	Dryas.octopetala	1	5547	1	19850	1	34	NA	0	25431	1	3	1	1	NA	DWARF-SHRUB	shrub	0.09875	1	NA
Dryas punctata	Dryas.punctata	1	243	1	12953	NA	0	NA	0	13196	1	4	1	1	NA	DWARF-SHRUB	NA	NA	1	NA
Empetrum atropurpureum	Empetrum.atropurpureum	1	24	NA	0	NA	0	NA	0	24	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	NA	NA	1
Empetrum eamesii	Empetrum.eamesii	1	53	NA	0	NA	0	NA	0	53	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	NA	NA	1
Empetrum nigrum	Empetrum.nigrum	1	49579	1	119262	NA	391	NA	0	169232	1	1	1	1	NA	"SHRUB, SUBSHRUB"	shrub	0.4	1	NA
Empetrum nigrum	Empetrum.nigrum	1	49579	1	119262	1	391	NA	0	169232	1	1	1	1	NA	"SHRUB, SUBSHRUB"	shrub	0.233666667	1	NA
Gaultheria hispidula	Gaultheria.hispidula	1	287	NA	0	NA	0	NA	0	287	1	4	1	1	NA	SHRUB	NA	0.14	NA	1
Harrimanella hypnoides	Harrimanella.hypnoides	1	4079	1	6514	1	266	NA	0	10859	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	0.0175	1	NA
Harrimanella stelleriana	Harrimanella.stelleriana	1	211	1	10504	NA	0	NA	0	10715	1	3	1	1	NA	"SHRUB, SUBSHRUB"	NA	NA	1	NA
Juniperus communis	Juniperus.communis	1	54746	1	70594	NA	199	NA	0	125539	1	1	1	1	1	"SHRUB, TREE"	shrub	7.6875	1	NA
Juniperus communis	Juniperus.communis	1	54746	1	70594	1	199	NA	0	125539	1	1	1	1	1	"SHRUB, TREE"	shrub	7.4475	1	NA
Juniperus horizontalis	Juniperus.horizontalis	1	304	1	44245	NA	0	NA	0	44549	1	2	1	1	NA	SUBSHRUB	NA	NA	1	NA
Kalmia polifolia	Kalmia.polifolia	1	882	1	70454	NA	0	NA	0	71336	1	4	1	1	NA	SHRUB	shrub	0.7	1	NA
Kalmia procumbens	Kalmia.procumbens	1	12866	1	17028	1	250	NA	0	30144	1	3	1	1	NA	SHRUB	shrub	0.11375	1	NA
Larix cajanderi	Larix.cajanderi	1	2	NA	0	NA	0	NA	0	2	1	4	1	NA	1	TREE	NA	NA	NA	1
Larix dahurica	Larix.dahurica	NA	0	1	64482	NA	0	NA	0	64482	1	4	1	NA	1	TREE	NA	NA	NA	1
Larix laricina	Larix.laricina	1	794	NA	0	NA	0	1	58925	59719	1	4	1	NA	1	TREE	NA	20	NA	1
Larix sibirica	Larix.sibirica	1	180	1	58169	NA	0	NA	0	58349	1	4	1	NA	1	TREE	NA	50	NA	1
Linnaea borealis	Linnaea.borealis	1	19937	1	150385	1	26	NA	0	170348	1	3	1	1	NA	SUBSHRUB	shrub	0.155	1	NA
Lonicera caerulea	Lonicera.caerulea	1	832	1	34149	NA	0	NA	0	34981	1	4	1	1	NA	SHRUB	NA	2.5	1	NA
Lonicera involucrata	Lonicera.involucrata	1	1021	1	40190	NA	0	NA	0	41211	1	4	1	1	NA	SHRUB	NA	5	1	NA
