"Genus.species"	"Order"	"Family"	"DS"	"log10MDD_Family"	"log10MDD_Family_lwrCL"	"log10MDD_Family_uppCL"	"log10MDD_Order"	"log10MDD_Order_lwrCL"	"log10MDD_Order_uppCL"	"log10MDD"	"log10MDD_lwrCL"	"log10MDD_uppCL"	"log10MDD_measured"	"Biomod.name"
"Prunus padus"	"Rosales"	"Rosaceae"	"animal"	2.90201251003845	2.32791054354457	3.47611447653232	3.05316004408873	2.47905807759486	3.62726201058261	3.1102563615047	2.63622846323352	3.58428425977588	NA	"Prunus.padus"
"Prunus pensylvanica"	"Rosales"	"Rosaceae"	"animal"	2.96353038412407	2.3830902349617	3.54397053328645	3.11467791817436	2.53423776901199	3.69511806733674	3.19549619154103	2.71301777832292	3.67797460475914	NA	"Prunus.pensylvanica"
"Rhododendron aureum"	"Ericales"	"Ericaceae"	"animal"	3.31185344681084	2.47111837804179	4.1525885155799	3.27477797084087	2.43404290207181	4.11551303960992	3.2839555741783	2.49067632727403	4.07723482108257	NA	"Rhododendron.aureum"
"Rhododendron groenlandicum"	"Ericales"	"Ericaceae"	"animal"	3.30268954666277	2.46087592333597	4.14450316998957	3.26561407069279	2.42380044736599	4.1074276940196	3.27040049869549	2.4764038854612	4.06439711192979	NA	"Rhododendron.groenlandicum"
"Rhododendron lapponicum"	"Ericales"	"Ericaceae"	"animal"	3.18801793126534	2.32540912361977	4.05062673891091	3.15094245529536	2.28833364764979	4.01355126294093	3.10078031762286	2.29043549854519	3.91112513670053	NA	"Rhododendron.lapponicum"
"Rhododendron tomentosum"	"Ericales"	"Ericaceae"	"animal"	3.38773925952546	2.52837189772337	4.24710662132755	3.35066378355548	2.4912964217534	4.21003114535757	3.38895377025284	2.57473519435979	4.20317234614588	NA	"Rhododendron.tomentosum"
"Ribes glandulosum"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.79459516473303	2.0740128694382	3.51517746002787	NA	"Ribes.glandulosum"
"Ribes hirtellum"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.85340765052118	2.14579410532665	3.56102119571571	NA	"Ribes.hirtellum"
"Ribes hudsonianum"	"Saxifragales"	"Grossulariaceae"	"animal"	NA	NA	NA	NA	NA	NA	3.06674389385241	2.35138191792748	3.78210586977734	NA	"Ribes.hudsonianum"
"Ribes lacustre"	"Saxifragales"	"Saxifragaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.99783142390835	2.2894301319598	3.7062327158569	NA	"Ribes.lacustre"
