"Genus.species"	"Order"	"Family"	"DS"	"log10MDD_Family"	"log10MDD_Family_lwrCL"	"log10MDD_Family_uppCL"	"log10MDD_Order"	"log10MDD_Order_lwrCL"	"log10MDD_Order_uppCL"	"log10MDD"	"log10MDD_lwrCL"	"log10MDD_uppCL"	"log10MDD_measured"	"Biomod.name"
"Salix tyrrellii"	"Malpighiales"	"Salicaceae"	"wind.special"	2.52044728592953	1.89347599418995	3.1474185776691	2.37912168861215	1.75215039687258	3.00609298035173	2.45083514750383	1.89139110153608	3.01027919347158	NA	"Salix.tyrrellii"
"Salix udensis"	"Malpighiales"	"Salicaceae"	"wind.special"	2.56818222169728	1.95581347918302	3.18055096421154	2.42685662437991	1.81448788186564	3.03922536689417	2.52144380179334	1.97952716163608	3.06336044195059	NA	"Salix.udensis"
"Salix uva-ursi"	"Malpighiales"	"Salicaceae"	"wind.special"	1.77796329128803	0.784365044838482	2.77156153773758	1.63663769397066	0.643039447521108	2.6302359404202	1.19316454807978	0.268456790434629	2.11787230572494	NA	"Salix.uvaursi"
"Salix vestita"	"Malpighiales"	"Salicaceae"	"wind.special"	2.38561061788094	1.68012939051237	3.09109184524951	2.24428502056357	1.538803793195	2.94976624793214	2.09198549176119	1.4411466122302	2.74282437129218	NA	"Salix.vestita"
"Salix viminalis"	"Malpighiales"	"Salicaceae"	"wind.special"	2.66561809852461	2.06170127375678	3.26953492329244	2.52429250120724	1.92037567643941	3.12820932597507	2.66311233534495	2.13354008492296	3.19268458576693	NA	"Salix.viminalis"
"Sambucus racemosa"	"Dipsacales"	"Adoxaceae"	"animal"	NA	NA	NA	3.16127981175524	2.49187412830077	3.83068549520972	3.28141218156372	2.69093034826323	3.87189401486421	NA	"Sambucus.racemosa"
"Shepherdia canadensis"	"Rosales"	"Elaeagnaceae"	"animal"	NA	NA	NA	2.88775859144571	2.1265861256052	3.64893105728621	2.68479427074499	1.98167973807129	3.38790880341869	NA	"Shepherdia.canadensis"
"Sibbaldia procumbens"	"Rosales"	"Rosaceae"	"animal"	2.31423087869644	1.26129910454161	3.36716265285127	2.46537841274673	1.4124466385919	3.51831018690156	2.02815309269564	1.05200692321655	3.00429926217473	NA	"Sibbaldia.procumbens"
"Sorbus aucuparia"	"Rosales"	"Rosaceae"	"animal"	3.18271600572482	2.53881572936371	3.82661628208593	3.33386353977511	2.689963263414	3.97776381613622	3.49314364099567	2.9338315849842	4.05245569700715	NA	"Sorbus.aucuparia"
"Sorbus groenlandica"	"Rosales"	"Rosaceae"	"animal"	3.07610769211513	2.31384147859077	3.83837390563948	3.22725522616542	2.46498901264106	3.98952143968978	3.15711862504773	2.44221861138802	3.87201863870744	NA	"Sorbus.groenlandica"
"Sorbus sambucifolia"	"Rosales"	"Rosaceae"	"animal"	3.00366855929511	2.23921470086859	3.76812241772163	3.1548160933454	2.39036223491888	3.91926995177192	3.04996796894952	2.33648496210768	3.76345097579137	NA	"Sorbus.sambucifolia"
"Sorbus scopulina"	"Rosales"	"Rosaceae"	"animal"	2.93475746303008	2.26053159617717	3.60898332988299	3.08590499708037	2.41167913022746	3.76013086393328	3.12772871394787	2.53233043948462	3.72312698841113	NA	"Sorbus.scopulina"
"Spiraea betulifolia"	"Rosales"	"Rosaceae"	"wind.none"	0.496285661772302	-0.261296189217073	1.25386751276168	0.647433195822592	-0.110148655166783	1.40501504681197	0.56328587112124	-0.122695620782069	1.24926736302455	NA	"Spiraea.betulifolia"
"Spiraea media"	"Rosales"	"Rosaceae"	"wind.none"	0.636108675650417	-0.0971347693623824	1.36935212066322	0.787256209700706	0.0540127646879075	1.52049965471351	0.770109546273357	0.0991776065226365	1.44104148602408	NA	"Spiraea.media"
"Spiraea salicifolia"	"Rosales"	"Rosaceae"	"wind.none"	0.636108675650417	-0.0971347693623824	1.36935212066322	0.787256209700706	0.0540127646879075	1.52049965471351	0.770109546273357	0.0991776065226365	1.44104148602408	NA	"Spiraea.salicifolia"
"Spiraea stevenii"	"Rosales"	"Rosaceae"	"wind.none"	0.472407028514037	-0.29155142064117	1.23636547766925	0.623554562564327	-0.14040388659088	1.38751301171954	0.52796502835648	-0.162944293770012	1.21887435048297	NA	"Spiraea.stevenii"
"Swida alba"	"Cornales"	"Cornaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.65086043017919	1.94274524545701	3.35897561490137	NA	"Swida.alba"
"Swida sericea"	"Cornales"	"Cornaceae"	"animal"	NA	NA	NA	NA	NA	NA	2.62721201158251	1.91822992878221	3.33619409438281	NA	"Swida.sericea"
"Therorhodion glandulosum"	"Ericales"	"Ericaceae"	"animal"	2.8987944261607	1.93123097717541	3.86635787514599	2.86171895019073	1.89415550120544	3.82928239917601	2.67316032576412	1.76794897877391	3.57837167275432	NA	"Therorhodion.glandulosum"
"Thymus praecox"	"Lamiales"	"Lamiaceae"	"wind.none"	0.355874243478607	-0.550141869436416	1.26189035639363	0.409412326315834	-0.496603786599189	1.31542843923086	0.109627793530229	-0.707498349284071	0.926753936344529	NA	"Thymus.praecox"
"Thymus serpyllum"	"Lamiales"	"Lamiaceae"	"wind.none"	0.268356836065883	-0.666008365676695	1.20272203780846	0.32189491890311	-0.612470282839469	1.25626012064569	-0.0145545445856254	-0.858578436015745	0.829469346844495	NA	"Thymus.serpyllum"
"Vaccinium caespitosum"	"Ericales"	"Ericaceae"	"animal"	2.95657747344947	2.0771164469038	3.83603849999513	2.91950199747949	2.04004097093383	3.79896302402515	2.77102552385705	1.95205722497331	3.58999382274078	NA	"Vaccinium.caespitosum"
"Vaccinium myrtilloides"	"Ericales"	"Ericaceae"	"animal"	3.10835305442806	2.32199302670147	3.89471308215466	3.07127757845809	2.28491755073149	3.85763760618469	3.00925078997216	2.27628108450061	3.74222049544372	NA	"Vaccinium.myrtilloides"
"Vaccinium myrtillus"	"Ericales"	"Ericaceae"	"animal"	2.84991300944507	1.98769201381633	3.71213400507381	2.8128375334751	1.95061653784636	3.67505852910383	2.62697094613719	1.82880879739049	3.42513309488389	NA	"Vaccinium.myrtillus"
"Vaccinium ovalifolium"	"Ericales"	"Ericaceae"	"animal"	3.08338362126259	2.29267700580301	3.87409023672218	3.04630814529262	2.25560152983303	3.83701476075221	2.97231645569834	2.23612986783047	3.70850304356621	NA	"Vaccinium.ovalifolium"
"Vaccinium uliginosum"	"Ericales"	"Ericaceae"	"animal"	2.88940657246703	2.03913241263476	3.73968073229929	2.85233109649705	2.00205693666479	3.70260525632932	2.68444479855753	1.8967980774455	3.47209151966955	NA	"Vaccinium.uliginosum"
"Vaccinium vitis-idaea"	"Ericales"	"Ericaceae"	"animal"	2.44371964457835	1.51681652371569	3.37062276544102	2.40664416860838	1.47974104774572	3.33354728947104	2.06177127766185	1.21118921572868	2.91235333959502	NA	"Vaccinium.vitisidaea"
"Veronica fruticans"	"Lamiales"	"Plantaginaceae"	"wind.none"	0.53202028239801	-0.368633388739006	1.43267395353503	0.43581948790704	-0.464834183229975	1.33647315904406	0.146487723844966	-0.665562792891212	0.958538240581144	NA	"Veronica.fruticans"
"Viburnum edule"	"Dipsacales"	"Adoxaceae"	"animal"	NA	NA	NA	2.6795418185572	1.89046313369542	3.46862050341899	2.43972640257938	1.71347356843186	3.1659792367269	NA	"Viburnum.edule"
