"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"	"Growth.form.isla"
"Sibbaldia procumbens"	"Sibbaldia.procumbens"	1	5517	1	20473	1	272	NA	0	26262	1	3	1	1	NA	"SUBSHRUB, HERB"	"herbaceous"	"SHRUB"	0.03825	NA	""	1	NA	0.5224	"Dwarf Shrubs"
"Sorbus groenlandica"	"Sorbus.groenlandica"	1	2	NA	0	1	54	NA	0	56	1	4	1	1	1	"SHRUB, TREE"	NA	"SHRUB"	3	138	"Normand.etal.2013.REST "	NA	1	NA	"Tall Shrubs"
"Sorbus sambucifolia"	"Sorbus.sambucifolia"	1	48	1	9409	NA	0	NA	0	9457	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	138	""	1	NA	NA	"Tall Shrubs"
"Spiraea betulifolia"	"Spiraea.betulifolia"	1	317	1	34226	NA	0	NA	0	34543	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.9144	NA	""	1	NA	0.279138486	"Tall Shrubs"
"Spiraea media"	"Spiraea.media"	1	65	1	23905	NA	0	NA	0	23970	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	1	NA	0.279138486	"Tall Shrubs"
"Spiraea salicifolia"	"Spiraea.salicifolia"	1	763	NA	0	NA	0	NA	0	763	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	""	NA	1	0.279138486	"Tall Shrubs"
"Spiraea stevenii"	"Spiraea.stevenii"	1	328	1	34226	NA	0	NA	0	34554	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.8	NA	""	1	NA	0.279138486	"Tall Shrubs"
"Swida alba"	"Swida.alba"	1	1603	1	30066	NA	0	NA	0	31669	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	3	NA	""	1	NA	25.12450216	"Tall Shrubs"
"Swida sericea"	"Swida.sericea"	1	4557	1	106008	NA	0	NA	0	110565	1	3	1	1	1	"SHRUB, TREE"	"shrub"	"SHRUB"	2.7432	NA	""	1	NA	25.12450216	"Tall Shrubs"
"Therorhodion glandulosum"	"Therorhodion.glandulosum"	1	47	1	11513	NA	0	NA	0	11560	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.1	NA	""	1	NA	0.03	"Dwarf Shrubs"
"Thymus praecox"	"Thymus.praecox"	1	14165	1	435	1	167	NA	0	14767	1	3	1	1	NA	"SUBSHRUB, HERB"	"herbaceous"	"SHRUB"	0.12	NA	""	1	NA	0.1522	"Dwarf Shrubs"
"Thymus serpyllum"	"Thymus.serpyllum"	1	12817	1	20621	NA	0	NA	0	33438	1	3	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.095	NA	""	1	NA	0.2402	"Dwarf Shrubs"
"Vaccinium caespitosum"	"Vaccinium.caespitosum"	1	312	1	44101	NA	0	NA	0	44413	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"tree"	"SHRUB"	0.2524	138	""	1	NA	0.087694489	"Low Shrubs"
"Vaccinium myrtilloides"	"Vaccinium.myrtilloides"	1	264	NA	0	NA	0	NA	0	264	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	1.15	138	""	NA	1	0.287568182	"Tall Shrubs"
"Vaccinium myrtillus"	"Vaccinium.myrtillus"	1	67230	1	83971	1	1	NA	0	151202	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.270682143	138	""	1	NA	0.287568182	"Low Shrubs"
"Vaccinium ovalifolium"	"Vaccinium.ovalifolium"	1	435	1	14677	NA	0	NA	0	15112	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	138	""	1	NA	0.287568182	"Tall Shrubs"
"Vaccinium uliginosum"	"Vaccinium.uliginosum"	1	45358	1	210036	1	481	NA	0	255875	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.3225	138	"Normand.etal.2013.REST "	1	NA	0.265	"Low Shrubs"
"Vaccinium vitis-idaea"	"Vaccinium.vitisidaea"	1	49166	1	217933	1	170	NA	0	267269	1	2	1	1	NA	"DWARF-SHRUB"	"tree"	"SHRUB"	0.1575	138	""	1	NA	6.28297548	"Dwarf Shrubs"
"Veronica fruticans"	"Veronica.fruticans"	1	3342	1	5949	1	165	NA	0	9456	1	3	1	1	NA	"SHRUB"	"NA,shrub"	"SHRUB"	0.125	NA	""	1	NA	0.1258	"Dwarf Shrubs"
"Viburnum edule"	"Viburnum.edule"	1	679	1	76939	NA	0	NA	0	77618	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5548	1.616666667	"Svenning.and.Sandel.2013.Average.across.all.Viburnum.spp "	1	NA	33.03000834	"Tall Shrubs"
