"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"rerun1.leave.out0"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"
"Betula fruticosa"	"Betula.fruticosa"	1	188	1	22388	NA	0	NA	0	22576	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	3	200	NA	1	NA	0.162686255
"Betula glandulosa"	"Betula.glandulosa"	1	885	1	93518	1	150	NA	0	94553	1	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	2.25	200	"Normand.etal.2013.REST "	1	NA	0.128758223
"Betula kenaica"	"Betula.kenaica"	1	58	NA	0	NA	0	NA	0	58	1	1	2	1	NA	1	"TREE"	NA	"TREE"	12	450	NA	NA	1	0.219966667
"Betula minor"	"Betula.minor"	1	71	NA	0	NA	0	NA	0	71	1	1	2	1	1	NA	"SHRUB"	NA	"TREE"	5	450	NA	NA	1	0.162686255
"Betula nana"	"Betula.nana"	1	30738	1	89412	1	232	NA	0	120382	1	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.455825	200	"Normand.etal.2013.REST "	1	NA	0.196614286
"Betula neoalaskana"	"Betula.neoalaskana"	1	97	NA	0	NA	0	NA	0	97	1	1	2	1	NA	1	"TREE"	NA	"TREE"	25	450	NA	NA	1	0.219966667
"Betula platyphylla"	"Betula.platyphylla"	1	124	1	56635	NA	0	NA	0	56759	1	1	2	1	NA	1	"TREE"	NA	"TREE"	30	450	NA	NA	1	0.219966667
"Betula pumila"	"Betula.pumila"	1	328	NA	0	NA	0	NA	0	328	1	1	2	1	1	NA	"SHRUB"	NA	"TREE"	4	450	NA	NA	1	0.162686255
"Caragana jubata"	"Caragana.jubata"	1	66	NA	0	NA	0	NA	0	66	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	NA	1	NA
"Cassiope lycopodioides"	"Cassiope.lycopodioides"	1	127	1	11725	NA	0	NA	0	11852	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.103653333	NA	NA	1	NA	NA
"Cassiope tetragona"	"Cassiope.tetragona"	1	1418	1	7995	1	387	NA	0	9800	1	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.103653333	NA	NA	1	NA	NA
"Chamaedaphne calyculata"	"Chamaedaphne.calyculata"	1	3510	1	154196	NA	0	NA	0	157706	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	2	"Normand.etal.2013.REST "	1	NA	NA
"Chamaepericlymenum canadense"	"Chamaepericlymenum.canadense"	1	29	1	110709	1	7	NA	0	110745	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.2	2	NA	1	NA	NA
"Chamaepericlymenum unalaschkense"	"Chamaepericlymenum.unalaschkense"	NA	0	1	241	NA	0	NA	0	241	1	1	4	1	1	NA	"SUBSHRUB "	NA	"SHRUB"	0.2	2	NA	1	NA	NA
"Cotoneaster niger"	"Cotoneaster.niger"	1	652	1	43766	NA	0	NA	0	44418	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2.5	NA	NA	1	NA	NA
"Dasiphora fruticosa"	"Dasiphora.fruticosa"	1	2730	1	42024	NA	0	NA	0	44754	1	1	3	1	1	NA	"SHRUB"	"woody"	"SHRUB"	0.75	NA	NA	1	NA	0.2635
"Diapensia lapponica"	"Diapensia.lapponica"	1	3425	1	6376	1	269	NA	0	10070	1	1	3	1	1	NA	"PINCUSHIAN, SHRUB"	"shrub"	"SHRUB"	0.038	NA	NA	1	NA	0.12
"Diapensia obovata"	"Diapensia.obovata"	1	102	1	3585	NA	0	NA	0	3687	1	1	4	1	1	NA	"PINCUSHIAN, SHRUB"	NA	"SHRUB"	0.05	NA	NA	1	NA	0.12
"Dryas ajanensis"	"Dryas.ajanensis"	1	21	NA	0	NA	0	NA	0	21	1	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	NA	NA	1	0.621723711
"Dryas drummondii"	"Dryas.drummondii"	1	194	1	21852	NA	0	NA	0	22046	1	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	NA	1	NA	0.621723711
"Dryas incisa"	"Dryas.incisa"	1	36	NA	0	NA	0	NA	0	36	1	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	NA	NA	1	0.621723711
"Dryas integrifolia"	"Dryas.integrifolia"	1	507	1	79340	1	414	NA	0	80261	1	1	3	1	1	NA	"DWARF-SHRUB"	"shrub"	"SHRUB"	0.05	NA	NA	1	NA	0.72
"Dryas octopetala"	"Dryas.octopetala"	1	5547	1	19850	1	34	NA	0	25431	1	1	3	1	1	NA	"DWARF-SHRUB"	"shrub"	"SHRUB"	0.09875	NA	NA	1	NA	0.523447422
"Dryas punctata"	"Dryas.punctata"	1	243	1	12953	NA	0	NA	0	13196	1	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.074375	NA	NA	1	NA	0.621723711
"Empetrum atropurpureum"	"Empetrum.atropurpureum"	1	24	NA	0	NA	0	NA	0	24	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.316833334	138	NA	NA	1	1.2025
"Empetrum eamesii"	"Empetrum.eamesii"	1	53	NA	0	NA	0	NA	0	53	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.316833334	138	NA	NA	1	1.2025
"Empetrum nigrum"	"Empetrum.nigrum"	1	49579	1	119262	1	391	NA	0	169232	1	1	1	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.316833334	138	"Normand.etal.2013.REST "	1	NA	1.2025
"Gaultheria hispidula"	"Gaultheria.hispidula"	1	287	NA	0	NA	0	NA	0	287	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.14	NA	NA	NA	1	NA
"Harrimanella hypnoides"	"Harrimanella.hypnoides"	1	4079	1	6514	1	266	NA	0	10859	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.0175	NA	NA	1	NA	0.009333333
"Harrimanella stelleriana"	"Harrimanella.stelleriana"	1	211	1	10504	NA	0	NA	0	10715	1	1	3	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.0175	NA	NA	1	NA	0.03
"Juniperus communis"	"Juniperus.communis"	1	54746	1	70594	1	199	NA	0	125539	1	1	1	1	1	1	"SHRUB, TREE"	"shrub"	"TREE"	7.5675	138	"Normand.etal.2013.REST "	1	NA	8.883875
"Kalmia procumbens"	"Kalmia.procumbens"	1	12866	1	17028	1	250	NA	0	30144	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.11375	NA	NA	1	NA	0.01721625
"Larix dahurica"	"Larix.dahurica"	NA	0	1	64482	NA	0	NA	0	64482	1	1	4	1	NA	1	"TREE"	NA	"TREE"	37.88595	170	NA	NA	1	6.345895542
"Larix sibirica"	"Larix.sibirica"	1	180	1	58169	NA	0	NA	0	58349	1	1	4	1	NA	1	"TREE"	NA	"TREE"	50	170	"Normand.etal.2013.REST "	NA	1	6.345895542
"Linnaea borealis"	"Linnaea.borealis"	1	19937	1	150385	1	26	NA	0	170348	1	1	3	1	1	NA	"SUBSHRUB"	"shrub"	"SHRUB"	0.155	NA	NA	1	NA	0.87
"Lonicera caerulea"	"Lonicera.caerulea"	1	832	1	34149	NA	0	NA	0	34981	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2.5	NA	NA	1	NA	NA
"Lonicera involucrata"	"Lonicera.involucrata"	1	1021	1	40190	NA	0	NA	0	41211	1	1	4	1	1	NA	"SHRUB"	NA	"TREE"	5	NA	NA	1	NA	NA
"Lonicera villosa"	"Lonicera.villosa"	1	266	1	4434	NA	0	NA	0	4700	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.9144	NA	NA	1	NA	NA
"Luetkea pectinata"	"Luetkea.pectinata"	1	229	1	18360	NA	0	NA	0	18589	1	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	0.2	NA	NA	1	NA	NA
"Myrica gale"	"Myrica.gale"	1	17673	1	34703	NA	0	NA	0	52376	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	2	"Normand.etal.2013.REST "	1	NA	NA
"Oxycoccus microcarpus"	"Oxycoccus.microcarpus"	1	10531	1	32897	NA	0	NA	0	43428	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.35	NA	NA	1	NA	NA
"Oxycoccus palustris"	"Oxycoccus.palustris"	1	43541	1	68219	1	109	NA	0	111869	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.03	NA	NA	1	NA	NA
"Phyllodoce aleutica"	"Phyllodoce.aleutica"	1	144	1	20250	NA	0	NA	0	20394	1	1	3	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.25	NA	NA	1	NA	0.02
"Phyllodoce caerulea"	"Phyllodoce.caerulea"	1	7215	1	10019	1	318	NA	0	17552	1	1	3	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"SHRUB"	0.1198	NA	NA	1	NA	0.02
"Picea glauca"	"Picea.glauca"	1	1387	NA	0	NA	0	1	66500	67887	1	1	4	1	NA	1	"TREE"	NA	"TREE"	30	60	"Normand.etal.2013.REST "	NA	1	4.919825988
"Pinus pumila"	"Pinus.pumila"	1	60	1	15	NA	0	NA	0	75	1	1	2	1	1	NA	"SHRUB "	NA	"TREE"	6	210	NA	1	NA	64.32974397
"Pinus sibirica"	"Pinus.sibirica"	1	44	1	48211	NA	0	NA	0	48255	1	1	2	1	NA	1	"TREE"	NA	"TREE"	35	210	NA	NA	1	64.32974397
"Pinus sylvestris"	"Pinus.sylvestris"	1	66317	1	111904	NA	0	NA	0	178221	1	1	2	1	NA	1	"TREE"	NA	"TREE"	40	210	"Normand.etal.2013.REST "	NA	1	64.32974397
"Populus balsamifera"	"Populus.balsamifera"	1	1108	NA	0	NA	0	1	58704	59812	1	1	3	1	NA	1	"TREE"	"tree"	"TREE"	30	310	"Normand.etal.2013.REST "	NA	1	1.193333333
"Populus tremula"	"Populus.tremula"	1	53689	1	143297	NA	0	NA	0	196986	1	1	4	1	NA	1	"TREE"	NA	"TREE"	20	310	"Normand.etal.2013.REST "	NA	1	1.193333333
"Rhododendron aureum"	"Rhododendron.aureum"	1	30	NA	0	NA	0	NA	0	30	1	1	4	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	1	2	NA	NA	1	0.0295
"Rhododendron lapponicum"	"Rhododendron.lapponicum"	1	651	1	18021	1	325	NA	0	18997	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.5	2	"Normand.etal.2013.REST "	1	NA	0.0295
"Rhododendron tomentosum"	"Rhododendron.tomentosum"	1	34939	1	108117	1	175	NA	0	143231	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	1.075	2	"Normand.etal.2013.REST "	1	NA	0.01575
"Ribes hirtellum"	"Ribes.hirtellum"	1	273	NA	0	NA	0	NA	0	273	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	NA	NA	NA	1	NA
"Ribes hudsonianum"	"Ribes.hudsonianum"	1	322	1	80143	NA	0	NA	0	80465	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	NA	NA
"Ribes lacustre"	"Ribes.lacustre"	1	905	1	66516	NA	0	NA	0	67421	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	1	NA
"Ribes oxyacanthoides"	"Ribes.oxyacanthoides"	1	315	1	39822	NA	0	NA	0	40137	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	NA	NA
"Ribes spicatum"	"Ribes.spicatum"	1	29452	1	190110	NA	0	NA	0	219562	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	NA	NA	1	NA	NA
"Ribes triste"	"Ribes.triste"	1	247	1	107961	NA	0	NA	0	108208	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	NA	1	NA	NA
"Rosa acicularis"	"Rosa.acicularis"	1	868	1	132450	NA	0	NA	0	133318	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	2.1096	NA	NA	1	NA	12.0043599
"Rosa majalis"	"Rosa.majalis"	1	9799	1	77781	NA	0	NA	0	87580	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	NA	12.0043599
"Rubus acaulis"	"Rubus.acaulis"	1	44	1	64400	NA	0	NA	0	64444	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3012	NA	NA	1	NA	NA
"Rubus arcticus"	"Rubus.arcticus"	1	12798	1	99937	NA	0	NA	0	112735	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3024	NA	NA	1	NA	1.677402039
"Rubus chamaemorus"	"Rubus.chamaemorus"	1	33141	1	181721	1	11	NA	0	214873	1	1	3	1	1	NA	"SUBSHRUB, HERB"	"herbaceous"	"SHRUB"	0.175	NA	NA	1	NA	7.878333334
"Rubus idaeus"	"Rubus.idaeus"	1	66394	1	139191	NA	0	NA	0	205585	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	NA	4.777867686
"Rubus pubescens"	"Rubus.pubescens"	1	275	1	14569	NA	0	NA	0	14844	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3	NA	NA	1	NA	4.777867686
"Rubus stellatus"	"Rubus.stellatus"	1	120	1	20021	NA	0	NA	0	20141	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.3012	NA	NA	1	NA	4.777867686
"Salix alaxensis"	"Salix.alaxensis"	1	585	1	73099	NA	0	NA	0	73684	1	1	1	1	1	1	"SHRUB, TREE"	"shrub"	"TREE"	7	287	"Normand.etal.2013.REST "	1	NA	0.18115942
"Salix arbuscula"	"Salix.arbuscula"	1	1090	1	2715	NA	0	NA	0	3805	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	0.7	NA	NA	1	NA	0.224083334
"Salix arctica"	"Salix.arctica"	1	4267	1	30118	1	332	NA	0	34717	1	1	1	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.15	NA	NA	1	NA	0.04
"Salix arctophila"	"Salix.arctophila"	1	321	1	41376	1	276	NA	0	41973	1	1	2	1	1	NA	"DWARF-SHRUB"	NA	"SHRUB"	0.15	NA	NA	1	NA	0.224083334
"Salix argyrocarpa"	"Salix.argyrocarpa"	1	26	NA	0	NA	0	NA	0	26	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	NA	NA	1	0.224083334
"Salix ballii"	"Salix.ballii"	1	23	NA	0	NA	0	NA	0	23	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.2	NA	NA	NA	1	0.224083334
"Salix barclayi"	"Salix.barclayi"	1	458	1	27667	NA	0	NA	0	28125	1	1	1	1	1	1	"SHRUB, TREE"	NA	"TREE"	4.786	287	NA	1	NA	0.18115942
"Salix barrattiana"	"Salix.barrattiana"	1	152	1	15772	NA	0	NA	0	15924	1	1	1	1	1	NA	"SHRUB"	NA	"SHRUB"	1.5	NA	NA	1	NA	0.224083334
"Salix berberifolia"	"Salix.berberifolia"	1	3	1	19369	NA	0	NA	0	19372	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	NA	NA	1	NA	0.224083334
"Salix boganidensis"	"Salix.boganidensis"	1	4	1	22466	NA	0	NA	0	22470	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.1	NA	NA	1	NA	0.224083334
"Salix brachycarpa"	"Salix.brachycarpa"	1	404	1	26608	NA	0	NA	0	27012	1	1	2	1	1	NA	"SHRUB"	"NA,shrub"	"SHRUB"	1.5	NA	NA	1	NA	0.224083334
"Salix burjatica"	"Salix.burjatica"	1	907	1	27559	NA	0	NA	0	28466	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	8	287	NA	1	NA	0.18115942
"Salix calcicola"	"Salix.calcicola"	1	135	1	1217	NA	0	NA	0	1352	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1.3	NA	NA	1	NA	0.224083334
"Salix candida"	"Salix.candida"	1	262	1	43059	NA	0	NA	0	43321	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	NA	1	NA	0.224083334
"Salix caprea"	"Salix.caprea"	1	58706	1	106023	NA	0	NA	0	164729	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	15	287	"Normand.etal.2013.REST "	1	NA	0.18115942
"Salix chamissonis"	"Salix.chamissonis"	1	104	1	23158	NA	0	NA	0	23262	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	NA	"SHRUB"	0.1	NA	NA	1	NA	0.224083334
"Salix cordata"	"Salix.cordata"	1	90	NA	0	NA	0	NA	0	90	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	3	NA	NA	NA	1	0.224083334
"Salix fuscescens"	"Salix.fuscescens"	1	434	1	48028	NA	0	NA	0	48462	1	1	2	1	1	NA	"SHRUB, SUBSHRUB"	"shrub"	"TREE"	3.323	287	NA	1	NA	0.224083334
"Salix glauca"	"Salix.glauca"	1	9270	1	13704	1	485	NA	0	23459	1	1	1	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.615	287	"Normand.etal.2013.REST "	1	NA	0.289166667
"Salix hastata"	"Salix.hastata"	1	5945	1	19903	NA	0	NA	0	25848	1	1	2	1	1	NA	"SHRUB"	"tree"	"SHRUB"	0.9572	287	"Normand.etal.2013.REST "	1	NA	0.175
"Salix herbacea"	"Salix.herbacea"	1	9379	1	17929	1	374	NA	0	27682	1	1	2	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.029533334	287	NA	1	NA	0.188166667
"Salix krylovii"	"Salix.krylovii"	1	2	1	45658	NA	0	NA	0	45660	1	1	2	1	1	NA	"SHRUB"	NA	"SHRUB"	2.5	287	NA	1	NA	0.224083334
