Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	Growth.form.height	All.height.median	Mig.rate.m.yr	Mig.rate.ref	Run	Rerun	Seed.Mass.Median	Seed.Mass.Median.Kew	DISP	DISP_INDK	DISP_VITTOZ	DISP_KEW	Complement_info	DISP_INDKMAN	VEGDISP_INDKMAN	DISP_TRY	Species	DS	GF	RH	SM.kew	SM.try	TV
Phyllodoce caerulea	Phyllodoce.caerulea	1	7215	1	10019	1	318	NA	0	17552	1	3	1	1	NA	SHRUB, SUBSHRUB	shrub	SHRUB	0.1198	NA		1	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phyllodoce caerulea	NA	shrub	-0.9215431819	#VALEUR !	-1.6989700043	
Picea abies	Picea.abies	1	43640	1	123058	NA	0	NA	0	166698	1	3	1	NA	1	TREE	tree	TREE	50	60	Normand.etal.2013.REST 	NA	1	6.563405489	NA	Dispersal by hoarding	meteorochory	6	Wind	NA	me dy	kv	wind	Picea abies	wind.special	tree	1.6989700043	#VALEUR !	0.8171292359	
Picea glauca	Picea.glauca	1	1387	NA	0	NA	0	1	66500	67887	1	4	1	NA	1	TREE	NA	TREE	30	60	Normand.etal.2013.REST 	NA	1	4.919825988	NA	NA	NA	NA	NA	NA	NA	NA	NA	Picea glauca	NA	tree	1.4771212547	#VALEUR !	0.6919497422	
Picea mariana	Picea.mariana	1	499	NA	0	NA	0	1	68040	68539	1	4	1	NA	1	TREE	NA	TREE	25	60	Normand.etal.2013.REST 	NA	1	4.919825988	NA	NA	NA	NA	Wind	NA	NA	NA	NA	Picea mariana	wind.special	tree	1.3979400087	#VALEUR !	0.6919497422	
Pinus pumila	Pinus.pumila	1	60	1	15	NA	0	NA	0	75	1	2	1	1	NA	SHRUB 	NA	TREE	6	210		1	NA	64.32974397	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus pumila	NA	tree	0.7781512504	#VALEUR !	1.8084118229	
Pinus sibirica	Pinus.sibirica	1	44	1	48211	NA	0	NA	0	48255	1	2	1	NA	1	TREE	NA	TREE	35	210		NA	1	64.32974397	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinus sibirica	animal	tree	1.5440680444	#VALEUR !	1.8084118229	
Pinus sylvestris	Pinus.sylvestris	1	66317	1	111904	NA	0	NA	0	178221	1	2	1	NA	1	TREE	NA	TREE	40	210	Normand.etal.2013.REST 	NA	1	64.32974397	NA	Dispersal by hoarding	dysochory	6	Wind	NA	me dy	kv	NA	Pinus sylvestris	wind.special	tree	1.6020599913	#VALEUR !	1.8084118229	
Populus balsamifera	Populus.balsamifera	1	1108	NA	0	NA	0	1	58704	59812	1	3	1	NA	1	TREE	tree	TREE	30	310	Normand.etal.2013.REST 	NA	1	1.193333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus balsamifera	NA	tree	1.4771212547	#VALEUR !	0.0767617718	
Populus suaveolens	Populus.suaveolens	1	20	NA	0	NA	0	NA	0	20	1	4	1	NA	1	TREE	NA	TREE	30	310		NA	1	1.193333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus suaveolens	NA	tree	1.4771212547	#VALEUR !	0.0767617718	
Populus tremula	Populus.tremula	1	53689	1	143297	NA	0	NA	0	196986	1	4	1	NA	1	TREE	NA	TREE	20	310	Normand.etal.2013.REST 	NA	1	1.193333333	NA	Wind dispersal	meteorochory	5	NA	NA	me	ws	NA	Populus tremula	wind.special	tree	1.3010299957	#VALEUR !	0.0767617718	
Populus tremuloides	Populus.tremuloides	1	1390	1	73904	NA	0	NA	0	75294	1	4	1	NA	1	TREE	NA	TREE	35	310	Normand.etal.2013.REST 	NA	1	1.193333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	Populus tremuloides	NA	tree	1.5440680444	#VALEUR !	0.0767617718	
Prunus padus	Prunus.padus	1	36108	1	116155	NA	0	NA	0	152263	1	4	1	1	1	SHRUB, TREE	NA	TREE	15	NA		1	NA	NA	52.5	Endozoochory	endochory	6	Animal	NA	en dy	ws	NA	Prunus padus	animal	tree	1.1760912591	1.7201593034	#VALEUR !	
Prunus pensylvanica	Prunus.pensylvanica	1	536	NA	0	NA	0	1	45622	46158	1	4	1	1	1	SHRUB, TREE	NA	TREE	16	NA		NA	1	NA	31.9	NA	NA	NA	Animal	Birds	NA	NA	NA	Prunus pensylvanica	animal	tree	1.2041199827	1.5037906831	#VALEUR !	
Rhododendron aureum	Rhododendron.aureum	1	30	NA	0	NA	0	NA	0	30	1	4	1	1	NA	DWARF-SHRUB	NA	SHRUB	1	2		NA	1	0.0295	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhododendron aureum	NA	shrub	0	#VALEUR !	-1.530177984	
Rhododendron groenlandicum	Rhododendron.groenlandicum	1	861	1	87468	1	175	NA	0	88504	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.95	2		1	NA	0.0295	NA	NA	NA	NA	Animal	Birds	NA	NA	Birds.	Rhododendron groenlandicum	animal	shrub	-0.0222763947	#VALEUR !	-1.530177984	
Rhododendron lapponicum	Rhododendron.lapponicum	1	651	1	18021	1	325	NA	0	18997	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.5	2	Normand.etal.2013.REST 	1	NA	0.0295	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhododendron lapponicum	NA	shrub	-0.3010299957	#VALEUR !	-1.530177984	
Rhododendron tomentosum	Rhododendron.tomentosum	1	34939	1	108117	1	175	NA	0	143231	1	3	1	1	NA	SHRUB	shrub	SHRUB	1.075	2	Normand.etal.2013.REST 	1	NA	0.01575	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhododendron tomentosum	NA	shrub	0.0314084643	#VALEUR !	-1.8027194419	
Ribes glandulosum	Ribes.glandulosum	1	443	1	69698	NA	0	NA	0	70141	1	4	1	1	NA	SHRUB	NA	SHRUB	1	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ribes glandulosum	NA	shrub	0	#VALEUR !	#VALEUR !	
Ribes hirtellum	Ribes.hirtellum	1	273	NA	0	NA	0	NA	0	273	1	4	1	1	NA	SHRUB	NA	SHRUB	1.5	NA		NA	1	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	Ribes hirtellum	NA	shrub	0.1760912591	0.1760912591	#VALEUR !	
Ribes hudsonianum	Ribes.hudsonianum	1	322	1	80143	NA	0	NA	0	80465	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	NA	NA	0.55	NA	NA	NA	Animal	Mammals (non-bat)+birds	NA	NA	NA	Ribes hudsonianum	animal	shrub	0.3010299957	-0.2596373105	#VALEUR !	
Ribes lacustre	Ribes.lacustre	1	905	1	66516	NA	0	NA	0	67421	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	1	NA	0.91	NA	NA	NA	Animal	Mammals (non-bat)+birds	NA	NA	NA	Ribes lacustre	animal	shrub	0.3010299957	-0.0409586077	#VALEUR !	
Ribes nigrum	Ribes.nigrum	1	22001	1	73907	NA	0	NA	0	95908	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	NA	NA	NA	Endozoochory	endochory	6	NA	NA	en	sr	NA	Ribes nigrum	animal	shrub	0.3010299957	#VALEUR !	#VALEUR !	
Ribes oxyacanthoides	Ribes.oxyacanthoides	1	315	1	39822	NA	0	NA	0	40137	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	NA	NA	1.22	NA	NA	NA	NA	NA	NA	NA	NA	Ribes oxyacanthoides	NA	shrub	0.3010299957	0.0863598307	#VALEUR !	
Ribes spicatum	Ribes.spicatum	1	29452	1	190110	NA	0	NA	0	219562	1	4	1	1	NA	SHRUB	NA	SHRUB	1.5	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ribes spicatum	NA	shrub	0.1760912591	#VALEUR !	#VALEUR !	
Ribes triste	Ribes.triste	1	247	1	107961	NA	0	NA	0	108208	1	4	1	1	NA	SHRUB	NA	SHRUB	1	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ribes triste	NA	shrub	0	#VALEUR !	#VALEUR !	
Rosa acicularis	Rosa.acicularis	1	868	1	132450	NA	0	NA	0	133318	1	3	1	1	NA	SHRUB	NA	SHRUB	2.1096	NA		1	NA	12.0043599	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rosa acicularis	NA	shrub	0.3242001168	#VALEUR !	1.0793390074	
Rosa majalis	Rosa.majalis	1	9799	1	77781	NA	0	NA	0	87580	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	NA	12.0043599	NA	NA	endochory	NA	NA	NA	en	au	NA	Rosa majalis	animal	shrub	0.3010299957	#VALEUR !	1.0793390074	
Rubus acaulis	Rubus.acaulis	1	44	1	64400	NA	0	NA	0	64444	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.3012	NA		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rubus acaulis	NA	shrub	-0.5211450325	#VALEUR !	#VALEUR !	
Rubus arcticus	Rubus.arcticus	1	12798	1	99937	NA	0	NA	0	112735	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.3024	NA		1	NA	1.677402039	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rubus arcticus	NA	shrub	-0.5194182132	#VALEUR !	0.2246371666	
Rubus chamaemorus	Rubus.chamaemorus	1	33141	1	181721	1	11	NA	0	214873	1	3	1	1	NA	SUBSHRUB, HERB	herbaceous	SHRUB	0.175	NA		1	NA	7.878333334	NA	NA	NA	NA	Animal	NA	NA	NA	NA	Rubus chamaemorus	animal	shrub	-0.7569619513	#VALEUR !	0.896434352	
Rubus idaeus	Rubus.idaeus	1	66394	1	139191	NA	0	NA	0	205585	1	4	1	1	NA	SHRUB	NA	SHRUB	2	NA		1	NA	4.777867686	NA	Endozoochory	dysochory	6	Animal	Mammals (non-bat)+birds	en dy	ws	NA	Rubus idaeus	animal	shrub	0.3010299957	#VALEUR !	0.6792341186	
Rubus pubescens	Rubus.pubescens	1	275	1	14569	NA	0	NA	0	14844	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.3	NA		1	NA	4.777867686	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rubus pubescens	NA	shrub	-0.5228787453	#VALEUR !	0.6792341186	
Rubus stellatus	Rubus.stellatus	1	120	1	20021	NA	0	NA	0	20141	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.3012	NA		1	NA	4.777867686	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rubus stellatus	NA	shrub	-0.5211450325	#VALEUR !	0.6792341186	
Salix acutifolia	Salix.acutifolia	1	194	1	490	NA	0	NA	0	684	1	2	1	1	1	SHRUB, TREE	NA	TREE	7	287		1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix acutifolia	NA	tree	0.84509804	#VALEUR !	-0.7419390784	
Salix alaxensis	Salix.alaxensis	1	585	1	73099	NA	0	NA	0	73684	1	1	1	1	1	SHRUB, TREE	shrub	TREE	7	287	Normand.etal.2013.REST 	1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix alaxensis	NA	tree	0.84509804	#VALEUR !	-0.7419390784	
Salix arbuscula	Salix.arbuscula	1	1090	1	2715	NA	0	NA	0	3805	1	2	1	1	NA	SHRUB	NA	SHRUB	0.7	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix arbuscula	NA	shrub	-0.15490196	#VALEUR !	-0.6495904425	
Salix arbusculoides	Salix.arbusculoides	1	713	1	41958	NA	0	NA	0	42671	1	1	1	1	1	SHRUB, TREE	NA	TREE	6.024	287	Normand.etal.2013.REST 	1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix arbusculoides	NA	tree	0.7798849632	#VALEUR !	-0.7419390784	
Salix arctica	Salix.arctica	1	4267	1	30118	1	332	NA	0	34717	1	1	1	1	NA	SHRUB	tree	SHRUB	0.15	NA		1	NA	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix arctica	NA	shrub	-0.8239087409	#VALEUR !	-1.3979400087	
Salix arctophila	Salix.arctophila	1	321	1	41376	1	276	NA	0	41973	1	2	1	1	NA	DWARF-SHRUB	NA	SHRUB	0.15	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix arctophila	NA	shrub	-0.8239087409	#VALEUR !	-0.6495904425	
Salix argyrocarpa	Salix.argyrocarpa	1	26	NA	0	NA	0	NA	0	26	1	2	1	1	NA	SHRUB	NA	SHRUB	1	NA		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix argyrocarpa	NA	shrub	0	#VALEUR !	-0.6495904425	
Salix ballii	Salix.ballii	1	23	NA	0	NA	0	NA	0	23	1	2	1	1	NA	SHRUB	NA	SHRUB	1.2	NA		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix ballii	NA	shrub	0.079181246	#VALEUR !	-0.6495904425	
Salix barclayi	Salix.barclayi	1	458	1	27667	NA	0	NA	0	28125	1	1	1	1	1	SHRUB, TREE	NA	TREE	4.786	287		1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix barclayi	NA	tree	0.6799726943	#VALEUR !	-0.7419390784	
Salix barrattiana	Salix.barrattiana	1	152	1	15772	NA	0	NA	0	15924	1	1	1	1	NA	SHRUB	NA	SHRUB	1.5	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix barrattiana	NA	shrub	0.1760912591	#VALEUR !	-0.6495904425	
Salix bebbiana	Salix.bebbiana	1	1222	1	1809	NA	0	NA	0	3031	1	2	1	1	1	SHRUB, TREE	NA	TREE	7	287	Normand.etal.2013.REST 	1	NA	0.18115942	NA	NA	NA	NA	wind+water	NA	NA	NA	NA	Salix bebbiana	wind.none	tree	0.84509804	#VALEUR !	-0.7419390784	
Salix berberifolia	Salix.berberifolia	1	3	1	19369	NA	0	NA	0	19372	1	2	1	1	NA	SHRUB	NA	SHRUB	1.1	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix berberifolia	NA	shrub	0.0413926852	#VALEUR !	-0.6495904425	
Salix boganidensis	Salix.boganidensis	1	4	1	22466	NA	0	NA	0	22470	1	2	1	1	NA	SHRUB	NA	SHRUB	1.1	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix boganidensis	NA	shrub	0.0413926852	#VALEUR !	-0.6495904425	
Salix brachycarpa	Salix.brachycarpa	1	404	1	26608	NA	0	NA	0	27012	1	2	1	1	NA	SHRUB	NA,shrub	SHRUB	1.5	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix brachycarpa	NA	shrub	0.1760912591	#VALEUR !	-0.6495904425	
Salix burjatica	Salix.burjatica	1	907	1	27559	NA	0	NA	0	28466	1	2	1	1	1	SHRUB, TREE	NA	TREE	8	287		1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix burjatica	NA	tree	0.903089987	#VALEUR !	-0.7419390784	
Salix calcicola	Salix.calcicola	1	135	1	1217	NA	0	NA	0	1352	1	2	1	1	NA	SHRUB	NA	SHRUB	1.3	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix calcicola	NA	shrub	0.1139433523	#VALEUR !	-0.6495904425	
Salix candida	Salix.candida	1	262	1	43059	NA	0	NA	0	43321	1	2	1	1	NA	SHRUB	NA	SHRUB	1	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix candida	NA	shrub	0	#VALEUR !	-0.6495904425	
Salix caprea	Salix.caprea	1	58706	1	106023	NA	0	NA	0	164729	1	2	1	1	1	SHRUB, TREE	NA	TREE	15	287	Normand.etal.2013.REST 	1	NA	0.18115942	NA	Wind dispersal	meteorochory	5	NA	NA	me	sw	NA	Salix caprea	wind.special	tree	1.1760912591	#VALEUR !	-0.7419390784	
Salix chamissonis	Salix.chamissonis	1	104	1	23158	NA	0	NA	0	23262	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.1	NA		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix chamissonis	NA	shrub	-1	#VALEUR !	-0.6495904425	
Salix cordata	Salix.cordata	1	90	NA	0	NA	0	NA	0	90	1	2	1	1	NA	SHRUB	NA	SHRUB	3	NA		NA	1	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix cordata	NA	shrub	0.4771212547	#VALEUR !	-0.6495904425	
Salix fuscescens	Salix.fuscescens	1	434	1	48028	NA	0	NA	0	48462	1	2	1	1	NA	SHRUB, SUBSHRUB	shrub	TREE	3.323	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix fuscescens	NA	tree	0.5215303413	#VALEUR !	-0.6495904425	
Salix glauca	Salix.glauca	1	9270	1	13704	1	485	NA	0	23459	1	1	1	1	NA	SHRUB	shrub	SHRUB	0.615	287	Normand.etal.2013.REST 	1	NA	0.289166667	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix glauca	NA	shrub	-0.2111248842	#VALEUR !	-0.5388517708	
Salix hastata	Salix.hastata	1	5945	1	19903	NA	0	NA	0	25848	1	2	1	1	NA	SHRUB	tree	SHRUB	0.9572	287	Normand.etal.2013.REST 	1	NA	0.175	NA	Wind dispersal	meteorochory	5	NA	NA	me	sw	NA	Salix hastata	wind.special	shrub	-0.0189973101	#VALEUR !	-0.7569619513	
Salix herbacea	Salix.herbacea	1	9379	1	17929	1	374	NA	0	27682	1	2	1	1	NA	SHRUB	shrub	SHRUB	0.029533334	287		1	NA	0.188166667	NA	Wind dispersal	meteorochory	5	NA	NA	NA	NA	NA	Salix herbacea	wind.special	shrub	-1.529687523	#VALEUR !	-0.7254573077	
Salix interior	Salix.interior	1	614	1	64651	NA	0	NA	0	65265	1	2	1	1	1	SHRUB, TREE	NA	TREE	9	287		1	NA	0.18115942	NA	NA	NA	NA	wind+water	NA	NA	NA	NA	Salix interior	wind.none	tree	0.9542425094	#VALEUR !	-0.7419390784	
Salix krylovii	Salix.krylovii	1	2	1	45658	NA	0	NA	0	45660	1	2	1	1	NA	SHRUB	NA	SHRUB	2.5	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix krylovii	NA	shrub	0.3979400087	#VALEUR !	-0.6495904425	
Salix lanata	Salix.lanata	1	4983	1	12946	NA	0	NA	0	17929	1	1	1	1	NA	SHRUB	NA,shrub	SHRUB	0.28	287	Normand.etal.2013.REST 	1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix lanata	NA	shrub	-0.5528419687	#VALEUR !	-0.6495904425	
Salix lapponum	Salix.lapponum	1	4625	1	58274	NA	0	NA	0	62899	1	1	1	1	NA	SHRUB	tree	SHRUB	0.848992857	287	Normand.etal.2013.REST 	1	NA	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix lapponum	NA	shrub	-0.0710959637	#VALEUR !	-0.2924298239	
Salix myrsinifolia	Salix.myrsinifolia	1	9113	1	43074	NA	0	NA	0	52187	1	1	1	1	1	SHRUB, TREE	NA	TREE	7	287		1	NA	0.18115942	NA	Wind dispersal	meteorochory	5	NA	NA	me	sw	NA	Salix myrsinifolia	wind.special	tree	0.84509804	#VALEUR !	-0.7419390784	
Salix myrsinites	Salix.myrsinites	1	3941	1	9645	NA	0	NA	0	13586	1	2	1	1	NA	SHRUB	shrub	SHRUB	0.215	287	Normand.etal.2013.REST 	1	NA	0.411666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix myrsinites	NA	shrub	-0.6675615401	#VALEUR !	-0.3854542968	
Salix myrtillifolia	Salix.myrtillifolia	1	328	1	59810	NA	0	NA	0	60138	1	3	1	1	NA	SHRUB	NA	SHRUB	0.6	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix myrtillifolia	NA	shrub	-0.2218487496	#VALEUR !	-0.6495904425	
Salix myrtilloides	Salix.myrtilloides	1	4055	1	32583	NA	0	NA	0	36638	1	2	1	1	NA	SHRUB	NA	SHRUB	1	287	Normand.etal.2013.REST 	1	NA	0.224083334	NA	NA	NA	NA	NA	NA	me	sw	NA	Salix myrtilloides	wind.special	shrub	0	#VALEUR !	-0.6495904425	
Salix niphoclada	Salix.niphoclada	1	370	1	24037	NA	0	NA	0	24407	1	1	1	1	NA	SHRUB	NA	SHRUB	2.7192	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix niphoclada	NA	shrub	0.4344411516	#VALEUR !	-0.6495904425	
Salix nummularia	Salix.nummularia	1	2	1	6036	NA	0	NA	0	6038	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.03	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix nummularia	NA	shrub	-1.5228787453	#VALEUR !	-0.6495904425	
Salix ovalifolia	Salix.ovalifolia	1	213	1	6478	NA	0	NA	0	6691	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.05	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix ovalifolia	NA	shrub	-1.3010299957	#VALEUR !	-0.6495904425	
Salix pedicellaris	Salix.pedicellaris	1	182	1	3610	NA	0	NA	0	3792	1	2	1	1	NA	SHRUB	NA	SHRUB	1.5	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix pedicellaris	NA	shrub	0.1760912591	#VALEUR !	-0.6495904425	
Salix pellita	Salix.pellita	1	52	NA	0	NA	0	1	16357	16409	1	2	1	1	1	SHRUB, TREE	NA	TREE	6	287	Normand.etal.2013.REST 	NA	1	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix pellita	NA	tree	0.7781512504	#VALEUR !	-0.7419390784	
Salix pentandra	Salix.pentandra	1	5272	1	73955	NA	0	NA	0	79227	1	2	1	1	1	SHRUB, TREE	NA	TREE	15	287		1	NA	0.18115942	NA	Wind dispersal	meteorochory	5	NA	NA	me	sw	NA	Salix pentandra	wind.special	tree	1.1760912591	#VALEUR !	-0.7419390784	
Salix phlebophylla	Salix.phlebophylla	1	260	1	27815	NA	0	NA	0	28075	1	2	1	1	NA	SHRUB, SUBSHRUB	NA	SHRUB	0.07	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix phlebophylla	NA	shrub	-1.15490196	#VALEUR !	-0.6495904425	
Salix phylicifolia	Salix.phylicifolia	1	1367	1	60429	NA	0	NA	0	61796	1	2	1	1	1	SHRUB, TREE	tree	SHRUB	2.5	287	Normand.etal.2013.REST 	1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix phylicifolia	NA	shrub	0.3979400087	#VALEUR !	-0.7419390784	
Salix planifolia	Salix.planifolia	1	955	1	117498	NA	0	NA	0	118453	1	2	1	1	1	SHRUB, TREE	shrub	TREE	5.6096	287		1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix planifolia	NA	tree	0.7489318944	#VALEUR !	-0.7419390784	
Salix polaris	Salix.polaris	1	1751	1	10504	NA	0	NA	0	12255	1	1	1	1	NA	SHRUB, SUBSHRUB	shrub	SHRUB	0.055	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix polaris	NA	shrub	-1.2596373105	#VALEUR !	-0.6495904425	
Salix pseudomonticola	Salix.pseudomonticola	1	150	1	40305	NA	0	NA	0	40455	1	2	1	1	NA	SHRUB	NA	TREE	6	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix pseudomonticola	NA	tree	0.7781512504	#VALEUR !	-0.6495904425	
Salix pseudomyrsinites	Salix.pseudomyrsinites	1	118	NA	0	NA	0	NA	0	118	1	2	1	1	1	SHRUB, TREE	NA	TREE	7	287		NA	1	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix pseudomyrsinites	NA	tree	0.84509804	#VALEUR !	-0.7419390784	
Salix pulchra	Salix.pulchra	1	586	1	67063	NA	0	NA	0	67649	1	1	1	1	NA	SHRUB	shrub	SHRUB	2.569066667	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix pulchra	NA	shrub	0.4097753743	#VALEUR !	-0.6495904425	
Salix pyrolifolia	Salix.pyrolifolia	1	16	1	10105	NA	0	NA	0	10121	1	2	1	1	1	SHRUB, TREE	NA	TREE	7	287		1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix pyrolifolia	NA	tree	0.84509804	#VALEUR !	-0.7419390784	
Salix recurvigemmis	Salix.recurvigemmis	NA	0	1	2526	NA	0	NA	0	2526	1	2	1	1	NA	SHRUB	NA	SHRUB	1.1	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix recurvigemmis	NA	shrub	0.0413926852	#VALEUR !	-0.6495904425	
Salix reptans	Salix.reptans	1	1	1	3384	NA	0	NA	0	3385	1	2	1	1	NA	SHRUB	NA	SHRUB	1.1	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix reptans	NA	shrub	0.0413926852	#VALEUR !	-0.6495904425	
Salix reticulata	Salix.reticulata	1	2481	1	19041	NA	0	NA	0	21522	1	2	1	1	NA	SHRUB, SUBSHRUB	shrub	SHRUB	0.0875	287		1	NA	0.1375	NA	Wind dispersal	meteorochory	5	NA	NA	me	kt	NA	Salix reticulata	wind.special	shrub	-1.057991947	#VALEUR !	-0.8616973018	
Salix richardsonii	Salix.richardsonii	1	417	1	5750	NA	0	NA	0	6167	1	1	1	1	1	SHRUB, TREE	NA,shrub	TREE	5.536	287		1	NA	0.18115942	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix richardsonii	NA	tree	0.7431960814	#VALEUR !	-0.7419390784	
Salix rosmarinifolia	Salix.rosmarinifolia	1	499	1	55556	NA	0	NA	0	56055	1	2	1	1	NA	SHRUB	NA	SHRUB	1	287		1	NA	0.224083334	NA	NA	meteorochory	NA	NA	NA	NA	NA	NA	Salix rosmarinifolia	wind.special	shrub	0	#VALEUR !	-0.6495904425	
Salix rotundifolia	Salix.rotundifolia	1	276	1	13785	NA	0	NA	0	14061	1	2	1	1	NA	SHRUB, SUBSHRUB	NA,shrub	SHRUB	0.05	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix rotundifolia	NA	shrub	-1.3010299957	#VALEUR !	-0.6495904425	
Salix saxatilis	Salix.saxatilis	1	8	1	37466	NA	0	NA	0	37474	1	2	1	1	NA	SHRUB	NA	SHRUB	0.5	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix saxatilis	NA	shrub	-0.3010299957	#VALEUR !	-0.6495904425	
Salix serissima	Salix.serissima	1	114	1	45009	NA	0	NA	0	45123	1	2	1	1	NA	SHRUB	NA	TREE	5	287		1	NA	0.224083334	NA	NA	NA	NA	NA	NA	NA	NA	NA	Salix serissima	NA	tree	0.6989700043	#VALEUR !	-0.6495904425	
