Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	Growth.form.height	All.height.median	Mig.rate.m.yr	Mig.rate.ref	Run	Rerun	Seed.Mass.Median	Seed.Mass.Median.Kew	DISP	DISP_INDK	DISP_VITTOZ	DISP_KEW	Complement_info	DISP_INDKMAN	VEGDISP_INDKMAN	DISP_TRY	Species	DS	GF	RH	SM.kew	SM.try	TV
Artemisia norvegica	Artemisia.norvegica	1	982	1	20244	NA	0	NA	0	21226	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.6	NA		1	NA	0.266458176	NA	NA	NA	NA	NA	NA	NA	NA	NA	Artemisia norvegica	NA	shrub	-0.2218487496	#VALEUR !	-0.5743709493	
Artemisia senjavinensis	Artemisia.senjavinensis	1	150	1	1006	NA	0	NA	0	1156	1	4	1	1	NA	SUBSHRUB, HERB	NA	SHRUB	0.9	NA		1	NA	0.266458176	NA	NA	NA	NA	NA	NA	NA	NA	NA	Artemisia senjavinensis	NA	shrub	-0.0457574906	#VALEUR !	-0.5743709493	
Betula fruticosa	Betula.fruticosa	1	188	1	22388	NA	0	NA	0	22576	1	2	1	1	NA	SHRUB	NA	SHRUB	3	200		1	NA	0.162686255	NA	NA	NA	NA	NA	NA	NA	NA	NA	Betula fruticosa	NA	shrub	0.4771212547	#VALEUR !	-0.7886491381	
Betula glandulosa	Betula.glandulosa	1	885	1	93518	1	150	NA	0	94553	1	1	1	1	NA	SHRUB	shrub	SHRUB	2.25	200	Normand.etal.2013.REST 	1	NA	0.128758223	NA	NA	NA	NA	Wind Spe	NA	NA	NA	Diaspore is blown by wind	Betula glandulosa	wind.special	shrub	0.3521825181	#VALEUR !	-0.8902250257	
Betula kenaica	Betula.kenaica	1	58	NA	0	NA	0	NA	0	58	1	2	1	NA	1	TREE	NA	TREE	12	450		NA	1	0.219966667	NA	NA	NA	NA	NA	NA	NA	NA	NA	Betula kenaica	NA	tree	1.079181246	#VALEUR !	-0.6576431257	
Betula minor	Betula.minor	1	71	NA	0	NA	0	NA	0	71	1	2	1	1	NA	SHRUB	NA	TREE	5	450		NA	1	0.162686255	NA	NA	NA	NA	NA	NA	NA	NA	NA	Betula minor	NA	tree	0.6989700043	#VALEUR !	-0.7886491381	
Betula nana	Betula.nana	1	30738	1	89412	1	232	NA	0	120382	1	1	1	1	NA	SHRUB	tree	SHRUB	0.455825	200	Normand.etal.2013.REST 	1	NA	0.196614286	NA	NA	meteorochory	NA	Wind	wind+animal	me dy	sr	NA	Betula nana	wind.special	shrub	-0.3412018594	#VALEUR !	-0.7063849295	
Betula neoalaskana	Betula.neoalaskana	1	97	NA	0	NA	0	NA	0	97	1	2	1	NA	1	TREE	NA	TREE	25	450		NA	1	0.219966667	NA	NA	NA	NA	NA	NA	NA	NA	NA	Betula neoalaskana	NA	tree	1.3979400087	#VALEUR !	-0.6576431257	
Betula papyrifera	Betula.papyrifera	1	701	1	71965	NA	0	NA	0	72666	1	2	1	NA	1	TREE	NA	TREE	30	450	Normand.etal.2013.REST 	NA	1	0.219966667	NA	NA	NA	NA	NA	NA	NA	NA	NA	Betula papyrifera	NA	tree	1.4771212547	#VALEUR !	-0.6576431257	
Betula pendula	Betula.pendula	1	57780	1	130291	NA	0	NA	0	188071	1	2	1	NA	1	TREE	NA	TREE	25	450	Normand.etal.2013.REST 	NA	1	0.219966667	NA	Wind dispersal	meteorochory	5	NA	NA	NA	NA	NA	Betula pendula	wind.special	tree	1.3979400087	#VALEUR !	-0.6576431257	
